id,title,author,format,status,read,pct_complete,first_seen,last_seen,events,sources,note_file,deleted
if-anyone-builds-it-everyone-dies-eliezer-yudkowsky-nate,"If Anyone Builds It, Everyone Dies","Eliezer Yudkowsky, Nate Soares",audiobook,reading,,,2026-09-08,,1,libby; wispr-dictation,notes/if-anyone-builds-it-everyone-dies.md,
spent-alison-bechdel,Spent,Alison Bechdel,print,reading,yes,,2026-09-07,,1,shelf-photo,notes/spent.md,
the-unbearable-lightness-of-being-milan-kundera,The Unbearable Lightness of Being,Milan Kundera,print,finished,yes,,2026-08-26,2026-09-06,2,shelf-photo; wispr-dictation,notes/unbearable-lightness-of-being.md,
evidence-of-the-affair-taylor-jenkins-reid,Evidence of the Affair,Taylor Jenkins Reid,audiobook+ebook,owned,,0,2026-08-25,,3,audible; kindle-library; prime-reading,,
small-things-alibis-collection-wanda-m-morris,Small Things (Alibis collection),Wanda M. Morris,audiobook+ebook,owned,,,2026-08-25,,3,audible; kindle-library; prime-reading,,
good-neighbors-alibis-collection-chad-zunker,Good Neighbors (Alibis collection),Chad Zunker,audiobook+ebook,owned,,,2026-08-25,,3,audible; kindle-library; prime-reading,,
false-note-alibis-collection-david-lagercrantz-elizabeth,False Note (Alibis collection),"David Lagercrantz,Elizabeth DeNoma",audiobook+ebook,owned,,,2026-08-25,,3,audible; kindle-library; prime-reading,,
the-skydivers-alibis-collection-chris-bohjalian,The Skydivers (Alibis collection),Chris Bohjalian,audiobook+ebook,owned,,,2026-08-25,,3,audible; kindle-library; prime-reading,,
the-ex-wives-club-alibis-collection-sally-hepworth,The Ex-Wives Club (Alibis collection),Sally Hepworth,audiobook+ebook,owned,,,2026-08-25,,3,audible; kindle-library; prime-reading,,
death-row-alibis-collection-freida-mcfadden,Death Row (Alibis collection),Freida McFadden,audiobook+ebook,owned,,,2026-08-25,,3,audible; kindle-library; prime-reading,,
alibis-unabridged,Alibis (Unabridged),,,wishlist,,,2026-08-25,,1,audible-wishlist,,
the-art-spy-michelle-young,The Art Spy,Michelle Young,library,borrowed,,,2026-08-22,,1,libby,,
hello-molly-a-memoir-unabridged,"Hello, Molly!: A Memoir (Unabridged)",,,wishlist,,,2026-08-22,,1,audible-wishlist,,
the-land-and-its-people-david-sedaris,The Land and Its People,David Sedaris,library,reading,,,2026-08-21,,1,libby,,
all-the-light-we-cannot-see-anthony-doerr,All the Light We Cannot See,Anthony Doerr,library,borrowed,,,2026-08-18,,1,libby,,
strange-pictures-uketsu,Strange Pictures,Uketsu,print,finished,yes,,2026-07-16,2026-08-17,2,lauren-stated,notes/strange-pictures.md,
strange-houses-uketsu,Strange Houses,Uketsu,print,finished,yes,,2026-07-16,2026-08-17,2,lauren-stated,notes/strange-houses.md,
strange-buildings-uketsu,Strange Buildings,Uketsu,print,finished,yes,,2026-07-16,2026-08-17,2,lauren-stated,notes/strange-buildings.md,
the-brain-from-inside-out-unabridged,The Brain from Inside Out (Unabridged),,,wishlist,,,2026-07-08,,1,audible-wishlist,,
what-is-health-allostasis-and-the-evolution-of-human-des,What Is Health?: Allostasis and the Evolution of Human Design (Unabridged),,,wishlist,,,2026-07-08,,1,audible-wishlist,,
